be greeted by,~에 의해 맞아들여지다/ ~로 환영받다
be in danger,위험한 처지에 놓여 있다
be in great demand,수요가 많이 있다/ 잘 나가다
be in trouble,곤경에 빠져 있다
be inclined to,~하고 싶은 기분이다
be integrated back,다시 통합되다
be interested in,~에 흥미가 있다
be involved in,~에 연관되다
be kind to,~에 친절하다
be known for,~로 알려지다
be lacking in,~이 없다
be laid out,배치되다/ 놓이다
be late for,~에 지각하다
be left behind,(뒤에) 남겨지다/ 남다
be likely to,~할 것 같다
be made from,~로 만들어 졌다(화학적 변화)
be made of,~로 만들어 졌다(물리적 변화)
be manufactured by,~에 의해 제조되다
be motivated to,~하도록 동기부여가 되다/ ~하도록 고무되다
be named after,~의 이름을 따서 명명되다
be obliged to,～하지 않을 수 없다
be out of order,고장 나 있다
be overshadowed by,~에 의해 가려지다/ ~에 가려 빛을 못 보다
be passed down,(후대에) 전해지다
be pleased to,~하니 기쁘다
be pleased with,~에 만족하다
be poor at,~ 에 서툴다
be possessed of,소유하다
be possessed with,～에 사로잡혀 있다
be proud of,~을 자랑하다
be pushed back,밀리다/ 밀려나다
be ready to,~을 준비하다
be renowned for,~로 유명하다/ ~로 잘 알려지다
be replaced by,~에 의해 대체되다
be responsible for,~에 대해 책임을 지다/ ~을 맡다
be rich in,~이 풍부하다
be ruled by,~에 의해 지배되다/ ~에 의해 다스려지다
be satisfied with,~에 만족하다
be sensible of,알고 있다
be short of,~이 부족하다
be subject to,～영향을 받다/ ~의 대상이다
be suitable for,~에 적절하다/ ~에 적합하다
be supposed to,～할 예정이다
be sure of,～을 확신하다
be sure to,틀림없이 ～하다
be surprised at,~에 놀라다
be tired from (or with),피곤해지다
be tired of,싫증이 나다
be to+do,(예정/ 가능/ 의무/ 운명/ 의도)의 뜻
be true to,～에 충실한
be used to,~에 익숙하다
be used to+명사/～ing,～에 익숙하다
be well known for,~로 잘 알려지다
be well off,넉넉하다
be well organized,(조직이) 잘 짜이다/ 질서 정연하다
be willing to,기꺼이 ~하다
be worth+~ing,~할 가치가 있다
be written down,쓰여지다/ 작성되다
bear in mind,명심하다
because of,때문에
become civilized,문명화되다/ 개명하다
become of,～이 (어떻게) 되다
before long,곧
behind the times,시대에 뒤떨어진
behind time,시간에 늦은
believe in,~의 존재를 믿다
belong to,~에 속하다
bend down,숙이다/ 수그리다
besides ~ing,~ 외에/ ~에 더하여
beyond bearing,도저히 참을 수 없는
beyond one’s ~,~이 미치지 않는
big time,(연예계) 대성공/ 대규모로/ 대단히
black out,~을 깜깜하게 만들다
blame ~ on,~을 ~의 탓으로 돌리다
blind oneself,눈이 멀다/ 장님이 되다
block ~ from,~가 ~하는 것을 막다/ 방해하다
blow one's nose,코를 풀다
both A and B,A/ B 둘 다
bottle up,(감정을 드러내지 않고) 억누르다
break in,침입하다
break into,~로 쪼개지다/ (건물에) 침입하다
break one's promise,약속을 어기다
break out,갑자기 발생하다
break the ice,어색한분위기를 깨다
bring about,발생시키다/ 야기하다
bring back,돌려주다/ 소생시키다/ ~을 생각나게 하다
bring home to,～을 절실히 느끼게 하다
bring to,~의 정신을 들게 하다/ 소생시키다
bring up,교육하다/ 양육하다
burst into,갑자기 시작하다
bustle up,열심히 일하다/ 서두르다
by accident,우연히
by all means,어떤 일이 있어도/ 좋고말고요
by and by,이윽고/ 곧
by degrees,점차로
by dint of,～에 의하여
by itself,혼자서/ 스스로
by land,육지로/ 육로로
by means of,～에 의하여
by no means,결코 ～이 아닌
by the time,~할 무렵에
by the way,그런데
by the week,주급으로
by train,기차로
by way of,경유하여/ ～으로서
call ~ up,~에 전화를 걸다
call at+집,~을 방문하다
call for,요구하다
call off,취소하다
call on+사람,~을 방문하다
cannot ~ too,아무리 ~해도 지나치지 않다
cannot help ~ing,~ 하지 않을 수 없다
